gtin ,sku ,stock,(1) price before discount,(2) price after discount,collectionhours
4751043574809,000106-0004-3XL,3,89,69,72
4751043574823,000106-0004-4XL,2,89,69,72
4751043574748,000106-0004-L,0,89,69,72
4751043574724,000106-0004-M,1,89,69,72
4751043574700,000106-0004-S,2,89,69,72
4751043574762,000106-0004-XL,2,89,69,72
4751043574687,000106-0004-XS,2,89,69,72
4751043571553,000134-0002-2XL,0,84,40,72
4751043571577,000134-0002-3XL,2,84,40,24
4751043571591,000134-0002-4XL,2,84,40,24
4751043571515,000134-0002-L,0,84,40,72
4751043571492,000134-0002-M,0,84,40,72
4751043571478,000134-0002-S,0,84,40,72
4751043571539,000134-0002-XL,0,84,40,72
4751043571454,000134-0002-XS,2,84,40,24
4751043571713,000134-0027-2XL,0,84,40,24
4751043571737,000134-0027-3XL,1,84,40,24
4751043571751,000134-0027-4XL,0,84,40,24
4751043571676,000134-0027-L,0,84,40,72
4751043571652,000134-0027-M,0,84,40,72
4751043571638,000134-0027-S,0,84,40,24
4751043571690,000134-0027-XL,0,84,40,72
4751043571614,000134-0027-XS,1,84,40,24
4751043572833,000137-0002-2XL,3,55,29,24
4751043572857,000137-0002-3XL,3,55,29,24
4751043572871,000137-0002-4XL,3,55,29,24
4751043572796,000137-0002-L,3,55,29,24
4751043572772,000137-0002-M,3,55,29,24
4751043572758,000137-0002-S,3,55,29,24
4751043572819,000137-0002-XL,0,55,29,48
4751043572734,000137-0002-XS,3,55,29,24
4751043572512,000137-0003-2XL,0,55,29,48
4751043572536,000137-0003-3XL,0,55,29,24
4751043572550,000137-0003-4XL,0,55,29,24
4751043572475,000137-0003-L,0,55,29,48
4751043572451,000137-0003-M,0,55,29,48
4751043572437,000137-0003-S,0,55,29,24
4751043572499,000137-0003-XL,0,55,29,48
4751043572413,000137-0003-XS,3,55,29,24
4751043572673,000137-0022-2XL,0,55,29,48
4751043572697,000137-0022-3XL,0,55,29,24
4751043572710,000137-0022-4XL,0,55,29,24
4751043572635,000137-0022-L,0,55,29,48
4751043572611,000137-0022-M,3,55,29,24
4751043572598,000137-0022-S,3,55,29,24
4751043572659,000137-0022-XL,0,55,29,48
4751043572574,000137-0022-XS,3,55,29,24
4751043572994,000138-0003-2XL,11,59,19,24
4751043573014,000138-0003-3XL,8,59,19,24
4751043573038,000138-0003-4XL,4,59,19,24
4751043572956,000138-0003-L,1,59,19,24
4751043572932,000138-0003-M,0,59,19,48
4751043572918,000138-0003-S,0,59,19,48
4751043572970,000138-0003-XL,6,59,19,24
4751043572895,000138-0003-XS,0,59,19,48
4751043573151,000138-0022-2XL,11,59,19,24
4751043573175,000138-0022-3XL,5,59,19,24
4751043573199,000138-0022-4XL,5,59,19,24
4751043573113,000138-0022-L,0,59,19,24
4751043573090,000138-0022-M,0,59,19,48
4751043573076,000138-0022-S,0,59,19,48
4751043573137,000138-0022-XL,2,59,19,24
4751043573052,000138-0022-XS,0,59,19,48
4751043571995,000139-0002-2XL,0,99,69,72
4751043572008,000139-0002-3XL,2,99,69,24
4751043572015,000139-0002-4XL,0,99,69,72
4751043571971,000139-0002-L,0,99,69,72
